config,n,mean,std,median,q1,q3,min,max
point,20,13.533412123361884,0.34562702277654866,13.489718887592348,13.309950614592495,13.719059586690161,12.719090595827293,14.164582518894846
subtree,20,12.339569934332518,0.3925670187126868,12.3,12.033711730708738,12.551095723579555,11.774165738677397,13.30199920063936
random,20,14.293982991091275,0.204562599150828,14.283863106410365,14.250192295750251,14.405734837632078,13.640967364599089,14.588435821108956
