gen,config,mean_d,sigma_d,fitness,d1,d2,d3,d4,d5,p_paired_mean_d,p_paired_sigma_d,unique_genotypes_final
10,Point,11.66,2.2327027316870773,13.892702731687077,9.35,10.0,11.025,12.8,15.125,0.3864441225389744,0.023950576782226562,4.25
10,Subtree,11.775000000000002,1.8808913444080873,13.65589134440809,10.125,10.425,10.925,12.575,14.825,0.3864441225389744,0.023950576782226562,62.25
100,Point,11.540000000000001,1.9934121233618824,13.533412123361881,9.5,10.05,11.075,12.45,14.625,0.20415035252620506,5.7220458984375e-06,4.25
100,Subtree,11.715,0.6245699343325175,12.339569934332518,11.1,11.35,11.45,12.15,12.525,0.20415035252620506,5.7220458984375e-06,62.25
